int : TYPE_INTEGER
[ : L_BRACKET
] : R_BRACKET
[ : L_BRACKET
] : R_BRACKET
array : IDENTIFIER
= : EQUAL
[ : L_BRACKET
[ : L_BRACKET
1 : INTEGER
, : COMMA
2 : INTEGER
, : COMMA
3 : INTEGER
, : COMMA
4 : INTEGER
] : R_BRACKET
, : COMMA
[ : L_BRACKET
5 : INTEGER
, : COMMA
6 : INTEGER
, : COMMA
7 : INTEGER
, : COMMA
8 : INTEGER
] : R_BRACKET
] : R_BRACKET
; : ENDLINE
main : RES_MAIN
{ : L_KEY
out : RES_OUT
( : L_PAREN
array : IDENTIFIER
[ : L_BRACKET
1 : INTEGER
] : R_BRACKET
[ : L_BRACKET
3 : INTEGER
] : R_BRACKET
) : R_PAREN
; : ENDLINE
} : R_KEY
